"COMPUTER_NAME","TYPE","LAST_WRITE_TIME","HIVE","KEY_PATH","ATTR_NAME","REG_TYPE","ATTR_TYPE","ATTR_DATA"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","","VALUE","REG_SZ","Microsoft Windows Media Player"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","Version","VALUE","REG_SZ","12,0,9600,16384"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","IsInstalled","VALUE","REG_DWORD",""
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","ComponentID","VALUE","REG_SZ","WMPACCESS"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","LocalizedName","VALUE","REG_EXPAND_SZ","@%SystemRoot%\system32\wmploc.dll,-128"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","StubPath","VALUE","REG_EXPAND_SZ","%SystemRoot%\system32\unregmp2.exe /ShowWMP"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","DontAsk","VALUE","REG_DWORD","2"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\>{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","Locale","VALUE","REG_SZ","*"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","","VALUE","REG_SZ","Microsoft Windows Media Player 12.0"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","IsInstalled","VALUE","REG_DWORD","1"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","Version","VALUE","REG_SZ","12,0,9600,16384"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","DontAsk","VALUE","REG_DWORD","2"
"JCLARK-E6430","installed_components","2013-08-22 04:17:50","HKEY_LOCAL_MACHINE","Software\Microsoft\Active Setup\Installed Components\{22d6f312-b0f6-11d0-94ab-0080c74c7e95}","Locale","VALUE","REG_SZ","EN"
