"COMPUTER_NAME","TYPE","CAPTION","CS_NAME","FIX_COMMENTS","HOTFIX_ID","INSTALL_DATE","INSTALLED_ON","NAME","SERVICE_PACK","STATUS"
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2862152","JCLARK-E6430","","KB2862152","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2868626","JCLARK-E6430","","KB2868626","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2876331","JCLARK-E6430","","KB2876331","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2883200","JCLARK-E6430","","KB2883200","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2884846","JCLARK-E6430","","KB2884846","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2887595","JCLARK-E6430","","KB2887595","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2888505","JCLARK-E6430","","KB2888505","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2894029","JCLARK-E6430","","KB2894029","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2894179","JCLARK-E6430","","KB2894179","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2898108","JCLARK-E6430","","KB2898108","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2898514","JCLARK-E6430","","KB2898514","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2898742","JCLARK-E6430","","KB2898742","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2900986","JCLARK-E6430","","KB2900986","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2901101","JCLARK-E6430","","KB2901101","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2902892","JCLARK-E6430","","KB2902892","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2906956","JCLARK-E6430","","KB2906956","","11/17/2013","","",""
"JCLARK-E6430","kb","http://support.microsoft.com/?kbid=2908174","JCLARK-E6430","","KB2908174","","11/17/2013","","",""
