"COMPUTER_NAME","TYPE","NAME"
"JCLARK-E6430","named_pipes","\\.\pipe\InitShutdown"
"JCLARK-E6430","named_pipes","\\.\pipe\lsass"
"JCLARK-E6430","named_pipes","\\.\pipe\ntsvcs"
"JCLARK-E6430","named_pipes","\\.\pipe\scerpc"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-290-0"
"JCLARK-E6430","named_pipes","\\.\pipe\epmapper"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-1ac-0"
"JCLARK-E6430","named_pipes","\\.\pipe\LSM_API_service"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-228-0"
"JCLARK-E6430","named_pipes","\\.\pipe\atsvc"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-354-0"
"JCLARK-E6430","named_pipes","\\.\pipe\W32TIME_ALT"
"JCLARK-E6430","named_pipes","\\.\pipe\eventlog"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-374-0"
"JCLARK-E6430","named_pipes","\\.\pipe\spoolss"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-650-0"
"JCLARK-E6430","named_pipes","\\.\pipe\wkssvc"
"JCLARK-E6430","named_pipes","\\.\pipe\efsrpc"
"JCLARK-E6430","named_pipes","\\.\pipe\trkwks"
"JCLARK-E6430","named_pipes","\\.\pipe\srvsvc"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-21c-0"
"JCLARK-E6430","named_pipes","\\.\pipe\Winsock2\CatalogChangeListener-16c-0"
"JCLARK-E6430","named_pipes","\\.\pipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROVIDER"
"JCLARK-E6430","named_pipes","\\.\pipe\browser"
"JCLARK-E6430","named_pipes","\\.\pipe\UIA_PIPE_3672_00003c8e"
"JCLARK-E6430","named_pipes","\\.\pipe\tapsrv"
"JCLARK-E6430","named_pipes","\\.\pipe\UIA_PIPE_3532_000034e8"
